Wavelength (nm),Abs
1100,0.1563
1099,0.1566
1098,0.1568
1097,0.1571
1096,0.1574
1095,0.1577
1094,0.158
1093,0.1583
1092,0.1586
1091,0.1589
1090,0.1592
1089,0.1595
1088,0.1598
1087,0.1602
1086,0.1606
1085,0.161
1084,0.1612
1083,0.1614
1082,0.1617
1081,0.1621
1080,0.1624
1079,0.1627
1078,0.1629
1077,0.1632
1076,0.1635
1075,0.1638
1074,0.1642
1073,0.1644
1072,0.1645
1071,0.1646
1070,0.1646
1069,0.1646
1068,0.1647
1067,0.1649
1066,0.165
1065,0.1651
1064,0.1652
1063,0.1655
1062,0.1658
1061,0.1661
1060,0.1664
1059,0.1667
1058,0.1671
1057,0.1675
1056,0.168
1055,0.1684
1054,0.1689
1053,0.1693
1052,0.1698
1051,0.1704
1050,0.1708
1049,0.1712
1048,0.1715
1047,0.1716
1046,0.1718
1045,0.1721
1044,0.1725
1043,0.1727
1042,0.1728
1041,0.173
1040,0.1732
1039,0.1734
1038,0.1736
1037,0.1738
1036,0.1741
1035,0.1743
1034,0.1746
1033,0.1749
1032,0.1752
1031,0.1755
1030,0.1759
1029,0.1763
1028,0.1767
1027,0.1772
1026,0.1776
1025,0.1779
1024,0.1781
1023,0.1783
1022,0.1786
1021,0.1789
1020,0.1791
1019,0.1793
1018,0.1794
1017,0.1795
1016,0.1796
1015,0.1797
1014,0.18
1013,0.1802
1012,0.1803
1011,0.1805
1010,0.1807
1009,0.1808
1008,0.181
1007,0.1812
1006,0.1814
1005,0.1816
1004,0.1818
1003,0.182
1002,0.1822
1001,0.1823
1000,0.1825
999,0.1827
998,0.1828
997,0.183
996,0.1831
995,0.1833
994,0.1834
993,0.1836
992,0.1837
991,0.1838
990,0.184
989,0.1841
988,0.1842
987,0.1843
986,0.1844
985,0.1845
984,0.1846
983,0.1847
982,0.1848
981,0.1849
980,0.185
979,0.1851
978,0.1853
977,0.1854
976,0.1855
975,0.1856
974,0.1858
973,0.1859
972,0.186
971,0.1861
970,0.1863
969,0.1864
968,0.1865
967,0.1867
966,0.1868
965,0.1869
964,0.187
963,0.1871
962,0.1873
961,0.1874
960,0.1874
959,0.1875
958,0.1876
957,0.1877
956,0.1879
955,0.188
954,0.1881
953,0.1883
952,0.1884
951,0.1885
950,0.1887
949,0.1888
948,0.1889
947,0.1891
946,0.1893
945,0.1894
944,0.1896
