Wavelength (nm),Abs
1100,0.2248
1099,0.2252
1098,0.2257
1097,0.2261
1096,0.2265
1095,0.227
1094,0.2274
1093,0.2278
1092,0.2283
1091,0.2287
1090,0.2291
1089,0.2295
1088,0.2299
1087,0.2304
1086,0.2308
1085,0.2312
1084,0.2317
1083,0.2322
1082,0.2326
1081,0.2329
1080,0.2333
1079,0.2336
1078,0.2339
1077,0.2341
1076,0.2344
1075,0.2347
1074,0.235
1073,0.2352
1072,0.2354
1071,0.2355
1070,0.2356
1069,0.2357
1068,0.2358
1067,0.2359
1066,0.2361
1065,0.2364
1064,0.2367
1063,0.2371
1062,0.2375
1061,0.2379
1060,0.2384
1059,0.2387
1058,0.2392
1057,0.2396
1056,0.2401
1055,0.2407
1054,0.2413
1053,0.2418
1052,0.2423
1051,0.2428
1050,0.2432
1049,0.2436
1048,0.2441
1047,0.2446
1046,0.2452
1045,0.2457
1044,0.2462
1043,0.2468
1042,0.2476
1041,0.2484
1040,0.2492
1039,0.2501
1038,0.251
1037,0.2519
1036,0.2527
1035,0.2536
1034,0.2545
1033,0.2553
1032,0.2561
1031,0.2568
1030,0.2574
1029,0.2578
1028,0.2581
1027,0.2584
1026,0.2585
1025,0.2586
1024,0.2588
1023,0.2588
1022,0.2588
1021,0.2587
1020,0.2587
1019,0.2588
1018,0.2589
1017,0.2591
1016,0.2593
1015,0.2597
1014,0.2601
1013,0.2605
1012,0.2609
1011,0.2613
1010,0.2618
1009,0.2622
1008,0.2626
1007,0.263
1006,0.2634
1005,0.2638
1004,0.2641
1003,0.2645
1002,0.2648
1001,0.2652
1000,0.2655
999,0.2659
998,0.2662
997,0.2666
996,0.2669
995,0.2672
994,0.2676
993,0.2679
992,0.2683
991,0.2686
990,0.269
989,0.2693
988,0.2697
987,0.27
986,0.2704
985,0.2707
984,0.2711
983,0.2715
982,0.2718
981,0.2722
980,0.2725
979,0.2729
978,0.2732
977,0.2736
976,0.2739
975,0.2743
974,0.2746
973,0.275
972,0.2754
971,0.2757
970,0.2761
969,0.2765
968,0.2768
967,0.2772
966,0.2776
965,0.278
964,0.2783
963,0.2787
962,0.279
961,0.2794
960,0.2797
959,0.2801
958,0.2804
957,0.2808
956,0.2811
955,0.2814
954,0.2818
953,0.2821
952,0.2825
951,0.2829
950,0.2832
949,0.2836
948,0.284
947,0.2843
946,0.2847
945,0.2851
944,0.2854
943,0.2858
942,0.2862
941,0.2865
940,0.2869
939,0.2872
938,0.2876
937,0.288
936,0.2883
935,0.2887
934,0.289
933,0.2894
932,0.2897
931,0.2901
930,0.2905
929,0.2908
928,0.2912
927,0.2915
926,0.2919
925,0.2923
924,0.2927
923,0.2931
922,0.2934
921,0.2938
920,0.2942
919,0.2945
918,0.2949
917,0.2953
916,0.2956
915,0.296
914,0.2964
913,0.2967
912,0.2971
911,0.2975
910,0.2978
909,0.2982
908,0.2985
907,0.2989
906,0.2993
905,0.2996
904,0.3
903,0.3004
902,0.3008
901,0.3011
900,0.3015
899,0.3018
898,0.3022
897,0.3026
896,0.303
895,0.3033
894,0.3037
893,0.3041
892,0.3044
891,0.3048
890,0.3052
889,0.3056
888,0.3059
887,0.3063
886,0.3067
885,0.307
884,0.3074
883,0.3078
882,0.3081
881,0.3085
880,0.3089
879,0.3092
878,0.3096
877,0.3099
876,0.3103
875,0.3106
874,0.311
873,0.3114
872,0.3118
871,0.3122
870,0.3125
869,0.3129
868,0.3133
867,0.3137
866,0.3141
865,0.3144
864,0.3148
863,0.3152
862,0.3156
861,0.316
860,0.3164
859,0.3168
858,0.3171
857,0.3175
856,0.3179
855,0.3183
854,0.3187
853,0.3191
852,0.3195
851,0.32
850,0.3204
849,0.3208
848,0.3212
847,0.3216
846,0.322
845,0.3224
844,0.3228
843,0.3232
842,0.3236
841,0.3241
840,0.3245
839,0.3249
838,0.3254
837,0.3258
836,0.3263
835,0.3267
834,0.3272
833,0.3277
832,0.3281
831,0.3286
830,0.329
829,0.3295
828,0.3299
827,0.3304
826,0.3308
825,0.3313
824,0.3318
823,0.3322
822,0.3327
821,0.3332
820,0.3336
819,0.3341
818,0.3346
817,0.3351
816,0.3357
815,0.3362
814,0.3368
813,0.3374
812,0.338
811,0.3385
810,0.3391
809,0.3397
808,0.3402
807,0.3408
806,0.3413
805,0.3418
804,0.3424
803,0.3429
802,0.3435
801,0.344
800,0.3445
799,0.3451
798,0.3456
797,0.3462
796,0.3468
795,0.3474
794,0.348
793,0.3487
792,0.3493
791,0.3499
790,0.3506
789,0.3513
788,0.3519
787,0.3526
786,0.3532
785,0.3539
784,0.3546
783,0.3553
782,0.356
781,0.3566
780,0.3573
779,0.358
778,0.3587
777,0.3594
776,0.3601
775,0.3609
774,0.3617
773,0.3625
