Wavelength (nm),Abs
1100,0.241
1099,0.2415
1098,0.2421
1097,0.2426
1096,0.2432
1095,0.2437
1094,0.2442
1093,0.2448
1092,0.2453
1091,0.2458
1090,0.2464
1089,0.2469
1088,0.2475
1087,0.248
1086,0.2486
1085,0.2491
1084,0.2496
1083,0.2502
1082,0.2507
1081,0.2513
1080,0.2518
1079,0.2524
1078,0.2529
1077,0.2535
1076,0.2541
1075,0.2546
1074,0.2552
1073,0.2557
1072,0.2563
1071,0.2568
1070,0.2574
1069,0.258
1068,0.2585
1067,0.2591
1066,0.2596
1065,0.2602
1064,0.2608
1063,0.2613
1062,0.2619
1061,0.2625
1060,0.263
1059,0.2636
1058,0.2642
1057,0.2648
1056,0.2653
1055,0.2659
1054,0.2665
1053,0.2671
1052,0.2676
1051,0.2682
1050,0.2688
1049,0.2694
1048,0.27
1047,0.2705
1046,0.2711
1045,0.2717
1044,0.2723
1043,0.2729
1042,0.2735
1041,0.2741
1040,0.2746
1039,0.2752
1038,0.2758
1037,0.2764
1036,0.277
1035,0.2776
1034,0.2782
1033,0.2788
1032,0.2794
1031,0.28
1030,0.2806
1029,0.2812
1028,0.2818
1027,0.2824
1026,0.2831
1025,0.2837
1024,0.2843
1023,0.2849
1022,0.2856
1021,0.2862
1020,0.2868
1019,0.2875
1018,0.2881
1017,0.2887
1016,0.2894
1015,0.29
1014,0.2907
1013,0.2913
1012,0.292
1011,0.2926
1010,0.2933
1009,0.2939
1008,0.2945
1007,0.2952
1006,0.2958
1005,0.2965
1004,0.2971
1003,0.2978
1002,0.2984
1001,0.2991
1000,0.2997
999,0.3004
998,0.301
997,0.3016
996,0.3023
995,0.3029
994,0.3036
993,0.3042
992,0.3048
991,0.3054
990,0.3061
989,0.3067
988,0.3073
987,0.3079
986,0.3085
985,0.3091
984,0.3097
983,0.3104
982,0.311
981,0.3116
980,0.3122
979,0.3128
978,0.3134
977,0.314
976,0.3146
975,0.3151
974,0.3157
973,0.3163
972,0.3168
971,0.3174
970,0.3179
969,0.3185
968,0.319
967,0.3195
966,0.32
965,0.3205
964,0.321
963,0.3216
962,0.3222
961,0.3228
960,0.3234
959,0.3241
958,0.3248
957,0.3256
956,0.3264
955,0.3272
954,0.3281
953,0.3289
952,0.3297
951,0.3304
950,0.3312
949,0.3319
948,0.3325
947,0.3332
946,0.3339
945,0.3346
944,0.3353
943,0.336
942,0.3366
941,0.3373
940,0.338
939,0.3387
938,0.3394
937,0.3401
936,0.3408
935,0.3415
934,0.3422
933,0.3429
932,0.3436
931,0.3444
930,0.3451
929,0.3458
928,0.3465
927,0.3472
926,0.3479
925,0.3487
924,0.3494
923,0.3501
922,0.3508
921,0.3516
920,0.3523
919,0.353
918,0.3538
917,0.3545
916,0.3552
915,0.356
914,0.3567
913,0.3574
912,0.3582
911,0.3589
910,0.3597
909,0.3604
908,0.3612
907,0.3619
906,0.3627
905,0.3634
904,0.3642
903,0.365
902,0.3657
901,0.3665
900,0.3672
899,0.368
898,0.3688
897,0.3695
896,0.3703
895,0.3711
894,0.3718
893,0.3726
892,0.3734
891,0.3742
890,0.375
889,0.3757
888,0.3765
887,0.3773
886,0.3781
885,0.3789
884,0.3797
883,0.3805
882,0.3813
881,0.3821
880,0.3829
879,0.3837
878,0.3845
877,0.3853
876,0.3861
875,0.3869
874,0.3877
873,0.3885
872,0.3893
871,0.3902
870,0.391
869,0.3918
868,0.3926
867,0.3935
866,0.3943
865,0.3951
864,0.396
863,0.3968
862,0.3977
861,0.3985
860,0.3993
859,0.4002
858,0.4011
857,0.4019
856,0.4028
855,0.4036
854,0.4045
853,0.4054
852,0.4062
851,0.4071
850,0.408
849,0.4089
848,0.4098
847,0.4107
846,0.4116
845,0.4125
844,0.4134
843,0.4143
842,0.4152
841,0.4161
840,0.4171
839,0.418
838,0.4189
837,0.4199
836,0.4208
835,0.4218
834,0.4227
833,0.4237
832,0.4246
831,0.4256
830,0.4267
829,0.4279
828,0.429
827,0.4301
826,0.4312
825,0.4323
824,0.4334
823,0.4345
822,0.4356
821,0.4366
820,0.4376
819,0.4386
818,0.4396
817,0.4406
816,0.4416
815,0.4426
814,0.4436
813,0.4447
812,0.4457
811,0.4468
810,0.4479
809,0.449
808,0.45
807,0.4511
806,0.4521
805,0.4532
804,0.4543
803,0.4553
802,0.4564
801,0.4574
800,0.4584
799,0.4595
798,0.4605
797,0.4615
