Wavelength (nm),Abs
1100,0.4326
1099,0.4335
1098,0.4347
1097,0.4347
1096,0.4341
1095,0.4346
1094,0.4358
1093,0.4367
1092,0.4374
1091,0.4379
1090,0.4383
1089,0.439
1088,0.4402
1087,0.4411
1086,0.4414
1085,0.4416
1084,0.4423
1083,0.4432
1082,0.4438
1081,0.4443
1080,0.445
1079,0.4457
1078,0.4456
1077,0.4453
1076,0.4468
1075,0.4486
1074,0.4491
1073,0.449
1072,0.4491
1071,0.4497
1070,0.4511
1069,0.4523
1068,0.4528
1067,0.4529
1066,0.4533
1065,0.4541
1064,0.4546
1063,0.4549
1062,0.4556
1061,0.4569
1060,0.4575
1059,0.4574
1058,0.4581
1057,0.4604
1056,0.4613
1055,0.4602
1054,0.46
1053,0.4614
1052,0.463
1051,0.4643
1050,0.465
1049,0.4654
1048,0.4659
1047,0.4669
1046,0.4683
1045,0.469
1044,0.469
1043,0.4695
1042,0.4705
1041,0.4709
1040,0.4718
1039,0.474
1038,0.4753
1037,0.4741
1036,0.4731
1035,0.474
1034,0.4748
1033,0.4745
1032,0.4741
1031,0.4737
1030,0.4735
1029,0.4727
1028,0.4722
1027,0.4731
1026,0.4752
1025,0.4775
1024,0.4788
1023,0.48
1022,0.482
1021,0.4839
1020,0.4854
1019,0.4862
1018,0.4866
1017,0.4875
1016,0.4889
1015,0.4898
1014,0.4901
1013,0.4905
1012,0.4912
1011,0.4918
1010,0.4926
1009,0.4936
1008,0.4944
1007,0.4951
1006,0.4959
1005,0.4967
1004,0.4975
1003,0.4982
1002,0.4989
1001,0.4997
1000,0.5005
999,0.5012
998,0.5021
997,0.5029
996,0.5036
995,0.5043
994,0.505
993,0.5057
992,0.5065
991,0.5075
990,0.5082
989,0.509
988,0.5099
987,0.5108
986,0.5115
985,0.5122
984,0.5131
983,0.5139
982,0.5147
981,0.5154
980,0.5162
979,0.5171
978,0.5178
977,0.5185
976,0.5194
975,0.5202
974,0.5211
973,0.5218
972,0.5225
971,0.5233
970,0.5241
969,0.5252
968,0.5262
967,0.527
966,0.5278
965,0.5284
964,0.5292
963,0.5301
962,0.531
961,0.5319
960,0.5328
959,0.5335
958,0.5344
957,0.5353
956,0.5362
955,0.537
954,0.5379
953,0.5386
952,0.5394
951,0.5403
950,0.5415
949,0.5425
948,0.5434
947,0.5442
946,0.5451
945,0.546
944,0.5469
943,0.5479
942,0.5486
941,0.5495
940,0.5505
939,0.5514
938,0.5523
937,0.5534
936,0.5545
935,0.5553
934,0.5561
933,0.5568
932,0.5578
931,0.559
930,0.5601
929,0.5613
928,0.5622
927,0.5632
926,0.5641
925,0.5651
924,0.566
923,0.5671
922,0.5681
921,0.5691
920,0.5702
919,0.5713
918,0.5723
917,0.5733
916,0.5743
915,0.5754
914,0.5764
913,0.5775
912,0.5785
911,0.5797
910,0.5807
909,0.582
908,0.5831
907,0.5841
906,0.5851
905,0.5861
904,0.5873
903,0.5883
902,0.5895
901,0.5907
900,0.5917
899,0.5927
898,0.5939
897,0.5951
896,0.5961
895,0.5973
894,0.5986
893,0.5996
892,0.6008
891,0.602
890,0.6034
889,0.6046
888,0.6058
887,0.6071
886,0.6081
885,0.6094
884,0.6106
883,0.6118
882,0.6129
881,0.614
880,0.6151
879,0.6161
878,0.6174
877,0.6188
876,0.6201
875,0.6212
874,0.6223
873,0.6234
872,0.6247
871,0.6258
870,0.627
869,0.6285
868,0.63
867,0.6313
866,0.6326
865,0.6339
864,0.6352
863,0.6363
862,0.6375
861,0.6388
860,0.6401
859,0.6414
858,0.6428
857,0.6439
856,0.6451
855,0.6464
854,0.6478
853,0.6491
852,0.6505
851,0.6518
850,0.6532
849,0.6546
848,0.656
847,0.6573
846,0.6585
845,0.6597
844,0.6611
843,0.6625
842,0.6639
841,0.6653
840,0.6665
839,0.6677
838,0.6691
837,0.6706
836,0.672
835,0.6734
834,0.6746
833,0.6759
832,0.6771
831,0.6788
830,0.6802
829,0.6817
828,0.6829
827,0.6844
826,0.6859
825,0.6874
824,0.6886
823,0.6897
822,0.6912
821,0.6929
820,0.6944
819,0.6955
818,0.697
817,0.6987
816,0.7
815,0.7013
814,0.7026
813,0.7042
812,0.7057
811,0.7073
810,0.7088
809,0.7104
808,0.7119
807,0.7135
806,0.7153
805,0.7169
804,0.7182
