BE,Count/s
98,555.958
97.9,606.09
97.8,576.495
97.7,559.456
97.6,498.223
97.5,597.959
97.4,591.605
97.3,562.857
97.2,580.528
97.1,551.357
97,528.499
96.9,534.158
96.8,511.277
96.7,562.025
96.6,477.863
96.5,507.379
96.4,557.919
96.3,586.138
96.2,590.548
96.1,562.489
96,509.516
95.9,558.992
95.8,581.16
95.7,535.526
95.6,516.911
95.5,530.276
95.4,536.311
95.3,507.819
95.2,567.763
95.1,502.545
95,570.668
94.9,562.777
94.8,558.976
94.7,524.57
94.6,601.953
94.5,626.755
94.4,598.399
94.3,559.616
94.2,585.33
94.1,629.964
94,642.657
93.9,675.91
93.8,631.365
93.7,690.276
93.6,668.884
93.5,671.156
93.4,720.44
93.3,725.202
93.2,788.852
93.1,763.625
93,786.715
92.9,902.649
92.8,910.54
92.7,901.152
92.6,926.915
92.5,925.034
92.4,978.447
92.3,943.465
92.2,1053.15
92.1,1064.71
92,1141.78
91.9,1230.6
91.8,1181.38
91.7,1126.34
91.6,1204.78
91.5,1215.66
91.4,1208.66
91.3,1223.53
91.2,1223.44
91.1,1172
91,1187.27
90.9,1186.57
90.8,1177.89
90.7,1337.62
90.6,1297.7
90.5,1224.02
90.4,1206.32
90.3,1243.87
90.2,1306.09
90.1,1202.18
90,1200.38
89.9,1263.27
89.8,1341.8
89.7,1396.36
89.6,1510.08
89.5,1525.29
89.4,1516.83
89.3,1623.19
89.2,1719.99
89.1,1686.18
89,1698.7
88.9,1779.01
88.8,1780.81
88.7,1808.9
88.6,1713.21
88.5,1744.42
88.4,1768.56
88.3,1725.65
88.2,1758.99
88.1,1666.68
88,1733.05
87.9,1657.09
87.8,1704.24
87.7,1697.17
87.6,1650.62
87.5,1856.25
87.4,1837.41
87.3,1912.14
87.2,1885.96
87.1,1768.31
87,1543.79
86.9,1455.33
86.8,1314.78
86.7,1127.66
86.6,961.321
86.5,895.398
86.4,813.709
86.3,807.219
86.2,729.98
86.1,731.989
86,689.004
85.9,636.551
85.8,673.173
85.7,661.144
85.6,639.032
85.5,573.677
85.4,636.775
85.3,614.846
85.2,625.122
85.1,546.114
85,573.669
84.9,612.325
84.8,609.972
84.7,570.18
84.6,627.955
84.5,650.668
84.4,669.052
84.3,736.671
84.2,856.006
84.1,923.137
84,988.211
83.9,1175.68
83.8,1329.33
83.7,1406.96
83.6,1435.06
83.5,1514.53
83.4,1364.78
83.3,1198.65
83.2,1014.35
83.1,931.781
83,688.539
82.9,649.364
82.8,568.659
82.7,523.994
82.6,475.07
82.5,403.737
82.4,401.625
82.3,398.271
82.2,386.074
82.1,366.619
82,363.778
81.9,336.375
81.8,360.496
81.7,363.025
81.6,354.526
81.5,324.018
81.4,319.776
81.3,341.593
81.2,361.088
81.1,321.305
81,379.848
80.9,337.199
80.8,323.185
80.7,291.285
80.6,285.514
80.5,295.934
80.4,348.195
80.3,298.439
80.2,284.682
80.1,301.064
80,294.27
