BE,Count/s
536,2957.64
535.9,2942.1
535.8,3116.98
535.7,2919.51
535.6,2921.58
535.5,2877.6
535.4,2942.72
535.3,2922.49
535.2,2926.83
535.1,2976.14
535,3069.51
534.9,2897.4
534.8,2993.57
534.7,3040.42
534.6,2976.74
534.5,3011.51
534.4,3092.64
534.3,3128.1
534.2,3018.05
534.1,3029.47
534,3071.68
533.9,3157.3
533.8,3158.6
533.7,3260.83
533.6,3233.86
533.5,3178.57
533.4,3210.81
533.3,3472.74
533.2,3471.35
533.1,3529.49
533,3719.84
532.9,3771.61
532.8,3760.98
532.7,3970.68
532.6,4100.59
532.5,4160.66
532.4,4283.68
532.3,4405.71
532.2,4502.82
532.1,4625.19
532,4751.41
531.9,4794.69
531.8,4805.1
531.7,5072.16
531.6,5076.54
531.5,5154.25
531.4,5300.21
531.3,5551.1
531.2,5517.63
531.1,5747.24
531,5909.43
530.9,6023.23
530.8,6097.88
530.7,6245.03
530.6,6150.89
530.5,6280.24
530.4,6073.81
530.3,5925.64
530.2,5632.57
530.1,5636.65
530,5321.11
529.9,5078.75
529.8,4858.76
529.7,4560.71
529.6,4289.58
529.5,4296.4
529.4,4160.51
529.3,3889.84
529.2,3775.85
529.1,3700.38
529,3440.6
528.9,3407.57
528.8,3368.97
528.7,3276.45
528.6,3172.24
528.5,3178.53
528.4,3247.65
528.3,3077.47
528.2,2984.61
528.1,2962.68
528,3018.38
527.9,3010.8
527.8,2971.35
527.7,2927.43
527.6,2952
527.5,2959.47
527.4,2827.82
527.3,2821.78
527.2,2831.07
527.1,2837.49
527,2845.81
526.9,2876.53
526.8,2889.36
526.7,2910.33
526.6,2914.77
526.5,2913.44
526.4,2851.01
526.3,2888.95
526.2,2951.74
526.1,2840.39
526,2950.84
