BE,Count/s
1055,7462.16
1054.9,7211.36
1054.8,7141.04
1054.7,7227.54
1054.6,7266.19
1054.5,7278.42
1054.4,7340.03
1054.3,7295.03
1054.2,7223.18
1054.1,7215.62
1054,7287.35
1053.9,7247.01
1053.8,7359.2
1053.7,7250.35
1053.6,7109.13
1053.5,7037.45
1053.4,7068.95
1053.3,7166.34
1053.2,7121.29
1053.1,6988.02
1053,7278.26
1052.9,6968.77
1052.8,7098.51
1052.7,7285.49
1052.6,7247.3
1052.5,7086.19
1052.4,6939.9
1052.3,6989.08
1052.2,7225.47
1052.1,7107.95
1052,6997.09
1051.9,7013.96
1051.8,7030.08
1051.7,7124.74
1051.6,7086.82
1051.5,7000.58
1051.4,6988.51
1051.3,6973.91
1051.2,7138.22
1051.1,7092.2
1051,6998.4
1050.9,7157.91
1050.8,7101.33
1050.7,6912.69
1050.6,7087.23
1050.5,7075.97
1050.4,7086.48
1050.3,7281.99
1050.2,7252.24
1050.1,7054.71
1050,6818.38
1049.9,6977.11
1049.8,6861.3
1049.7,6849.73
1049.6,7076.37
1049.5,7113.54
1049.4,7274.43
1049.3,7077.73
1049.2,7011.69
1049.1,7254.44
1049,6899.22
1048.9,7173.47
1048.8,7047.19
1048.7,6965.29
1048.6,7017.45
1048.5,7070.57
1048.4,7119.35
1048.3,6953.13
1048.2,7142.09
1048.1,7032.44
1048,7075.68
1047.9,7041.38
1047.8,7076.13
1047.7,6872.65
1047.6,7067.59
1047.5,7250.84
1047.4,7123.82
1047.3,7280.3
1047.2,7448.81
1047.1,7365.03
1047,7488.48
1046.9,7481.62
1046.8,7719.7
1046.7,7758.35
1046.6,7718.21
1046.5,7898.37
1046.4,7976.5
1046.3,7976.85
1046.2,8027.33
1046.1,8518.04
1046,8459.49
1045.9,8932.16
1045.8,8977.67
1045.7,9371.2
1045.6,9747.92
1045.5,9853.95
1045.4,9947.65
1045.3,10083.5
1045.2,10249.9
1045.1,10377.7
1045,10432.3
1044.9,10352.5
1044.8,10425.4
1044.7,10146.7
1044.6,9813.59
1044.5,9325.71
1044.4,9442.95
1044.3,9113.81
1044.2,8739.69
1044.1,8528.83
1044,8249.11
1043.9,8071.28
1043.8,8018.12
1043.7,7716.6
1043.6,7682.92
1043.5,7780.73
1043.4,7769.71
1043.3,7453.72
1043.2,7181.75
1043.1,7285.78
1043,7496.07
1042.9,7346.85
1042.8,7428.54
1042.7,7351.81
1042.6,7358.38
1042.5,7372.46
1042.4,7304.17
1042.3,7326.15
1042.2,7251.44
1042.1,7173.89
1042,7002.39
1041.9,7431.73
1041.8,7235.35
1041.7,7149.28
1041.6,7232.27
1041.5,7094.61
1041.4,7328.42
1041.3,7272.78
1041.2,7179.48
1041.1,7028.8
1041,7234.64
1040.9,7243.87
1040.8,7109.66
1040.7,7253.43
1040.6,7321.69
1040.5,7128.69
1040.4,7311.4
1040.3,7095.16
1040.2,7144.92
1040.1,7165.05
1040,7125.43
1039.9,6946.55
1039.8,6889.16
1039.7,7003.51
1039.6,6998.62
1039.5,7010.28
1039.4,6930.32
1039.3,7184.46
1039.2,7003.27
1039.1,6884.79
1039,6719
1038.9,6833.73
1038.8,6890.72
1038.7,6970.55
1038.6,6940.43
1038.5,6994.45
1038.4,6883.89
1038.3,6912.28
1038.2,6829.18
1038.1,6865.34
1038,6915.41
1037.9,6869.4
1037.8,6779.56
1037.7,6935.24
1037.6,6808.45
1037.5,6836.67
1037.4,6897.61
1037.3,6776.87
1037.2,6900.54
1037.1,6681.2
1037,6690.6
1036.9,6844.24
1036.8,6776.38
1036.7,6642.72
1036.6,6543.95
1036.5,6763.59
1036.4,6754.93
1036.3,6831.82
1036.2,6593
1036.1,6674.48
1036,6777.82
1035.9,6629.73
1035.8,6623.99
1035.7,6604.02
1035.6,6726.3
1035.5,6673.4
1035.4,6667.66
1035.3,6551.44
1035.2,6583.35
1035.1,6557.13
1035,6558.79
1034.9,6654.08
1034.8,6611.84
1034.7,6522.13
1034.6,6473.38
1034.5,6643.59
1034.4,6659.7
1034.3,6557.78
1034.2,6474.83
1034.1,6361.94
1034,6583.37
1033.9,6357.11
1033.8,6350.4
1033.7,6489.72
1033.6,6415.61
1033.5,6278.78
1033.4,6351
1033.3,6266.13
1033.2,6437.51
1033.1,6396.73
1033,6432.61
1032.9,6433.21
1032.8,6489.64
1032.7,6236.76
1032.6,6280.34
1032.5,6447.96
1032.4,6417.71
1032.3,6281.98
1032.2,6375.26
1032.1,6309.79
1032,6353.63
1031.9,6391.1
1031.8,6372.6
1031.7,6260.86
1031.6,6240.9
1031.5,6218.87
1031.4,6224.02
1031.3,6158.18
1031.2,6195.97
1031.1,6113.13
1031,6214.09
1030.9,6256.42
1030.8,6085.99
1030.7,6076.61
1030.6,6172.97
1030.5,6310.17
1030.4,6216.13
1030.3,6119.38
1030.2,6142.79
1030.1,6185.85
1030,6252.15
1029.9,6047.24
1029.8,6076.78
1029.7,6218.27
1029.6,6014.57
1029.5,5984.2
1029.4,6240.37
1029.3,5932.04
1029.2,6098.89
1029.1,6060.36
1029,5995.87
1028.9,5876.93
1028.8,5954.54
1028.7,6114.65
1028.6,6080.04
1028.5,6138.23
1028.4,5887.32
1028.3,6098.31
1028.2,5882.28
1028.1,5910.93
1028,6037.61
1027.9,6044.21
1027.8,6131.65
1027.7,6024.43
1027.6,6047.47
1027.5,5932.24
1027.4,5905.57
1027.3,5792.12
1027.2,5827.78
1027.1,5931.78
1027,5833.61
1026.9,6096.79
1026.8,5887.05
1026.7,5976.73
1026.6,6074.03
1026.5,5991.31
1026.4,5976.2
1026.3,5968.76
1026.2,5867.99
1026.1,5867.3
1026,5840.69
1025.9,6088.92
1025.8,6030.42
1025.7,6140.61
1025.6,5979.52
1025.5,5852.41
1025.4,5937.53
1025.3,6071.64
1025.2,6052.34
1025.1,5982.61
1025,6057.51
1024.9,5905.47
1024.8,6096.34
1024.7,6128.82
1024.6,6149.01
1024.5,6088.21
1024.4,6263.56
1024.3,6161.52
1024.2,6165.22
1024.1,6365.91
1024,6478.54
1023.9,6497.73
1023.8,6670.6
1023.7,6636.13
1023.6,6780.22
1023.5,7076.61
1023.4,7481.14
1023.3,7669.38
1023.2,8049.43
1023.1,8427.01
1023,8770.98
1022.9,9182.94
1022.8,9467.07
1022.7,10256.5
1022.6,10606.1
1022.5,11296.7
1022.4,11714.1
1022.3,12425.6
1022.2,12699.8
1022.1,12892.7
1022,12827.6
1021.9,12958.6
1021.8,12929.8
1021.7,12597.1
1021.6,12022.5
1021.5,11530.3
1021.4,11047.7
1021.3,10403.7
1021.2,9926.47
1021.1,9386.56
1021,8632.52
1020.9,8586.17
1020.8,8089.84
1020.7,7606.95
1020.6,7379.8
1020.5,7128.84
1020.4,6830.32
1020.3,6788.59
1020.2,6655.58
1020.1,6633.78
1020,6428.84
1019.9,6421.14
1019.8,6267.48
1019.7,6299.88
1019.6,6245.3
1019.5,6184.51
1019.4,6094.91
1019.3,6120.05
1019.2,6059.84
1019.1,6195.81
1019,6179.1
1018.9,6176.41
1018.8,5959.67
1018.7,6093.03
1018.6,6105.37
1018.5,6030.65
1018.4,6171.23
1018.3,6187.87
1018.2,6133.66
1018.1,6201.78
1018,6213.19
1017.9,6094.56
1017.8,6141.09
1017.7,6245.9
1017.6,6120.98
1017.5,6090.11
1017.4,6105.95
1017.3,6011.49
1017.2,6089.33
1017.1,5909.08
1017,6088.83
1016.9,6066.07
1016.8,6058.46
1016.7,5989.29
1016.6,5843.55
1016.5,5748.86
1016.4,6070.44
1016.3,5997.33
1016.2,5826.99
1016.1,5804.08
1016,5644.15
1015.9,5895.17
1015.8,5794.33
1015.7,5712.72
1015.6,5708.34
1015.5,5666.43
1015.4,5695.78
1015.3,5740.04
1015.2,5942.86
1015.1,5912.51
1015,5624.56
