BE,Count/s
1350,22394.6
1349,21830.3
1348,21128.6
1347,21914.9
1346,22866.1
1345,22563.2
1344,22230.7
1343,22150.5
1342,22591.2
1341,22371.8
1340,23497.6
1339,22832.8
1338,21489.6
1337,23243.2
1336,22932.3
1335,21830.5
1334,20851.3
1333,21996.5
1332,22032.2
1331,21348.7
1330,20635.9
1329,21433.8
1328,21838.2
1327,20196
1326,20703.5
1325,20507.7
1324,19732.7
1323,20548.8
1322,20387.1
1321,20402.7
1320,20026.2
1319,20353.4
1318,19767
1317,22409.3
1316,21617
1315,21137
1314,20401.9
1313,19767.4
1312,19990.4
1311,20556.5
1310,21482.4
1309,21364.9
1308,19666.3
1307,19543.3
1306,20047
1305,19912.9
1304,20597.2
1303,19821
1302,22381.8
1301,20586.4
1300,19900.3
1299,21427.1
1298,19894.6
1297,20209.4
1296,18635.5
1295,19551
1294,19429.5
1293,19248.1
1292,19137.5
1291,19879.5
1290,19104.5
1289,19856.6
1288,19137.7
1287,19683.3
1286,19703.1
1285,19646.6
1284,19418.1
1283,20729.7
1282,20176
1281,19839
1280,18572.5
1279,18982.4
1278,19529.1
1277,18553.5
1276,18690.2
1275,19345.1
1274,19879.4
1273,19116.5
1272,21015.2
1271,19099.9
1270,18900.4
1269,19255.3
1268,17711.3
1267,19986.2
1266,17972.8
1265,19129.3
1264,18904.3
1263,19323
1262,20029.4
1261,19966.9
1260,17628.3
1259,20250.3
1258,19973
1257,19159.3
1256,18690.9
1255,18697.5
1254,19165.7
1253,19438
1252,19823.9
1251,18272.6
1250,20224
1249,18754
1248,19264.7
1247,20791.4
1246,18862.8
1245,19792.4
1244,19925.1
1243,19640.1
1242,19057.3
1241,19762.2
1240,19755.5
1239,18952.8
1238,19276.9
1237,20330
1236,19361.9
1235,19035.2
1234,20777.5
1233,19673.2
1232,19516.3
1231,19357.4
1230,19227.7
1229,19844.2
1228,20511.4
1227,20095.6
1226,19291.2
1225,19312
1224,19432.9
1223,19898
1222,17963.5
1221,19401.1
1220,18632.8
1219,18584.2
1218,19084.5
1217,18398.2
1216,17321.4
1215,18159.6
1214,17830
1213,16070.8
1212,17642.8
1211,17994.6
1210,17035.3
1209,17691.5
1208,17473
1207,18723.9
1206,19026
1205,17190.2
1204,18037.3
1203,15954.5
1202,16224.5
1201,17220.2
1200,16089
1199,17333.8
1198,18475.1
1197,16652.8
1196,16960.7
1195,17703.2
1194,17568.4
1193,17647.5
1192,17103.1
1191,17536.2
1190,16865.3
1189,17873.9
1188,16874.8
1187,18456.3
1186,17050.8
1185,18113.3
1184,18460.3
1183,17244.1
1182,15763.6
1181,17005
1180,16321.5
1179,17574.9
1178,17498.2
1177,17285.8
1176,17176.3
1175,16731.9
1174,16900.4
1173,16235.8
1172,17656.9
1171,17477.7
1170,16835.2
1169,17899.4
1168,17451.8
1167,17854.2
1166,18450.1
1165,16832.5
1164,15751.9
1163,18349.9
1162,17236.7
1161,17943.7
1160,17925.5
1159,16845.3
1158,16729.3
1157,16232.6
1156,17539.3
1155,16908.1
1154,17274.1
1153,17393.9
1152,16895.7
1151,16764.1
1150,16003.1
1149,17277.1
1148,17764.5
1147,17539.3
1146,18051
1145,18097.2
1144,18350.5
1143,17810.8
1142,18083.1
1141,16056.1
1140,16580.5
1139,16991.8
1138,17130.5
1137,16982.4
1136,17712.5
1135,16204.4
1134,16438.5
1133,16809.4
1132,17106.8
1131,17335.9
1130,16777.7
1129,16530.7
1128,16402.9
1127,16798.2
1126,18601.9
1125,17332
1124,16714.8
1123,17867.3
1122,17911.3
1121,18140.4
1120,18096.1
1119,16365
1118,16675.6
1117,16789.4
1116,17381.2
1115,17517.2
1114,16382
1113,16299.1
1112,17769.8
1111,16939
1110,16146.9
1109,15022.9
1108,17591.7
1107,16927.1
1106,16982.2
1105,17490
1104,17525.2
1103,17764.5
1102,17206.2
1101,17755.9
1100,18778.8
1099,16877.9
1098,17009.3
1097,17410.3
1096,16796.4
1095,16807.3
1094,16591.2
1093,16455.6
1092,16517.3
1091,15586.6
1090,17196.7
1089,16887
1088,16582.2
1087,17414
1086,17424.6
1085,16853.2
1084,16723.5
1083,16559.1
1082,17103.6
1081,17205.5
1080,16139.5
1079,15813.2
1078,15785.8
1077,17162.9
1076,17083.7
1075,17433.6
1074,16513.9
1073,17893.1
1072,17801.4
1071,16913.3
1070,16095
1069,15800
1068,16434.3
1067,15706.3
1066,15698.8
1065,18096.2
1064,16688.7
1063,16423.1
1062,16693.2
1061,15583
1060,16673.4
1059,16597.1
1058,16376.3
1057,15975.5
1056,16161.5
1055,15362.2
1054,16386.4
1053,16152.1
1052,14770.5
1051,14987.6
1050,15285.4
1049,16002.9
1048,16226.6
1047,17601.7
1046,18558.1
1045,21254.1
1044,19622.8
1043,16179.9
1042,16341.3
1041,18188.1
1040,15410.2
1039,15429.7
1038,15405
1037,15906.1
1036,14860.8
1035,14491.6
1034,14795.8
1033,14498.6
1032,15676
1031,13164.7
1030,13834.7
1029,14346.8
1028,14501
1027,15036.5
1026,11868.3
1025,14212.1
1024,12927.8
1023,18757.7
1022,26191.7
1021,21191.3
1020,13581.7
1019,12904.8
1018,12280.6
1017,14031.3
1016,13387.1
1015,12827.2
1014,12436.1
1013,12948
1012,12844.1
1011,11008
1010,11709.5
1009,13406.2
1008,13376
1007,12087.8
1006,12787.8
1005,13764.4
1004,12637.9
1003,13386.7
1002,13172.2
1001,12597
1000,14172.7
999,13054.9
998,12636.1
997,12645.7
996,15474.3
995,12241.6
994,12669.6
993,12918.5
992,13463.7
991,12695.1
990,12139.8
989,11609.4
988,11962.9
987,12161.2
986,12345
985,12724.2
984,12770.8
983,12416.8
982,12525.8
981,13498.5
980,13117.3
979,13166.6
978,13920.4
977,12263.6
976,11868.3
975,12341.1
974,12558.9
973,12684.3
972,13182.7
971,11997
970,11796.5
969,12218.7
968,13723.5
967,12668.6
966,11519
965,12421.5
964,11307.9
963,11046.3
962,12724.3
961,12331
960,12156.5
959,11339.6
958,11427.8
957,11796
956,12014.6
955,11611.3
954,11773.6
953,11293.4
952,12047.3
951,11329
950,11773.1
949,12257.2
948,12459.5
947,11138.7
946,10827.9
945,12039.8
944,12802.2
943,11493.9
942,12250.6
941,11894.5
940,12309.5
939,12297.6
938,11357.8
937,11881.3
936,12244.5
935,12261.5
934,12120.8
933,10709.9
932,12144.8
931,11598.8
930,11540.6
929,11946.7
928,11609
927,12060.1
926,12656.5
925,11489.5
924,12626.8
923,12508.3
922,12401.9
921,11399.3
920,13040.8
919,13367.8
918,12054.3
917,12121.8
916,12094.7
915,12964.5
914,11988.2
913,12110.8
912,11603.2
911,13518.5
910,13160.7
909,12746.6
908,12563.1
907,11572
906,12609.4
905,12155.4
904,12708.5
903,11484.6
902,11788.5
901,12091.3
900,12540.6
899,12546.5
898,12040.6
897,12257
896,11511.2
895,10884.6
894,12407.7
893,11905.7
892,12150.6
891,12569.1
890,12878.3
889,13622.9
888,12671.9
887,12567.6
886,13698
885,12522.3
884,12371.2
883,13529.2
882,12269
881,13161.3
880,12709.4
879,12395.5
878,12013.6
877,12394.4
876,10711.9
875,12189.2
874,11080.1
873,12162.2
872,11851.4
871,12653
870,13047.4
869,14094.6
868,12022.1
867,11479.2
866,11632.5
865,12434.8
864,11185.2
863,12557
862,12134.1
861,11862.1
860,12399.6
859,12008.2
858,12265.9
857,12343.1
856,12989.1
855,12945.2
854,11908.5
853,11171.7
852,11510.7
851,12655.1
850,13451.6
849,12564.9
848,13045.1
847,13575.7
846,12927.2
845,12517.2
844,12022.3
843,12303.1
842,13231
841,12822.9
840,12762.4
839,12454.8
838,12403.9
837,13339
836,12614.8
835,12336.4
834,12101.6
833,11896.4
832,11267.3
831,12478.6
830,12151.6
829,12623.9
828,12216.8
827,11929.6
826,12734.4
825,13126
824,13166.8
823,12239.2
822,11131
821,11205.8
820,12085.7
819,13455.7
818,12125
817,12968.9
816,13378.3
815,11154.4
814,11596.9
813,12580.1
812,12404.6
811,13449.9
810,12171.8
809,12778.6
808,12419.4
807,13664.2
806,12774.6
805,12117
804,12808.3
803,12314.6
802,13452.5
801,12415.8
800,14539
799,12467.3
798,13712.7
797,12606.1
796,13603.6
795,13632.5
794,12871.8
793,13359
792,13053.1
791,12270.3
790,12179.3
789,12663
788,13110.5
787,13200
786,13260.6
785,12193.1
784,12776.3
783,13859.2
782,13784.8
781,12466.1
780,12234.3
779,13211.7
778,13170.6
777,12604.6
776,13457.3
775,13289.3
774,12265.5
773,12584.4
772,12648.8
771,13933.5
770,11358
769,12393.1
768,13563.6
767,13801.6
766,13709.3
765,13167.8
764,12923.1
763,12563
762,13352.2
761,13935.8
760,13709.7
759,13280.5
758,12856
757,11920.1
756,13423.5
755,14708.6
754,13407.3
753,13207.7
752,12525.4
751,13484.5
750,12766.6
749,14316.8
748,13253.3
747,13457.5
746,12758.3
745,12811.3
744,13755.1
743,13552.8
742,14511.3
741,14218.6
740,13915.7
739,12610.4
738,13148.7
737,12624.9
736,13008.8
735,13938.3
734,13635.3
733,13734.1
732,13416.3
731,12946.1
730,13315.3
729,12653.6
728,14287.9
727,12822.1
726,12877.8
725,13004.4
724,11484.2
723,13576.5
722,13786.3
721,13638.9
720,13234.7
719,13013.3
718,11843
717,12998.8
716,12557.3
715,14991.5
714,13615.3
713,14105.5
712,12881.8
711,13067.3
710,13382.4
709,12085.4
708,14030.4
707,13030.6
706,12750.3
705,11942.2
704,11520.4
